ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,98.5
Blaisen,60.554821,7.492456889,113
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,61.7000007629395
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,11.1000003814697
Exploradores,-46.5166,-73.1666,90.5
Falljokull,63.9767271,-16.769957,143.5
Forni,46.39383461,10.58866174,37.0999984741211
Gries,46.44341,8.337930974,50.7999992370605
Grigoriev,41.975833,77.913333,44.7000007629395
Gulkana,63.25,-145.416667,30
Hansbreen,77.0312,15.6479,55.5999984741211
Isfallsglaci?ren,67.91483,18.5663,98.1999969482422
Iver,-33.25,-70.2166,10.5
Midtre Lov?nbreen,78.885,12.0495,51.9000015258789
Morterasch,46.39872903,9.920244756,40.5
Recherchebreen,77.4496,14.7978,66
Renardbreen,77.5238,14.4284,71.0999984741211
Scottbreen,77.5514,14.365,72
Suntarhyata No.29-31,62.583333,140.85,45.7000007629395
Tsanteleina,45.4799,7.046,35.7999992370605
Tyndall,-51.2166,-73.2833,47.2000007629395
Urumqi  No.1,43.116667,86.8,105.599998474121
Vestre Broggerbreen,78.9006,11.8187,54.7000007629395
Waldemarbreen,78.6783,12.0584,57.7000007629395
Werenskioldbreen,77.0764,15.3202,63.9000015258789
Yala,28.23,85.61,34.2999992370605
Zebru,46.478611,10.568056,40.2999992370605
