ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,113.400001525879
Blaisen,60.554821,7.492456889,103.5
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,147.399993896484
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,15.5
Exploradores,-46.5166,-73.1666,88.5999984741211
Falljokull,63.9767271,-16.769957,270.700012207031
Forni,46.39383461,10.58866174,94
Gries,46.44341,8.337930974,102.800003051758
Grigoriev,41.975833,77.913333,1.89999997615814
Gulkana,63.25,-145.416667,10.1999998092651
Hansbreen,77.0312,15.6479,37.2000007629395
Isfallsglaci?ren,67.91483,18.5663,65.5
Iver,-33.25,-70.2166,12.1000003814697
Midtre Lov?nbreen,78.885,12.0495,40.2000007629395
Morterasch,46.39872903,9.920244756,96.5
Recherchebreen,77.4496,14.7978,48.7999992370605
Renardbreen,77.5238,14.4284,55.2999992370605
Scottbreen,77.5514,14.365,57.5999984741211
Suntarhyata No.29-31,62.583333,140.85,13.8000001907349
Tsanteleina,45.4799,7.046,115.300003051758
Tyndall,-51.2166,-73.2833,173.300003051758
Urumqi  No.1,43.116667,86.8,1.60000002384186
Vestre Broggerbreen,78.9006,11.8187,43.4000015258789
Waldemarbreen,78.6783,12.0584,47.2999992370605
Werenskioldbreen,77.0764,15.3202,45
Yala,28.23,85.61,29.5
Zebru,46.478611,10.568056,102.199996948242
