ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,107.5
Blaisen,60.554821,7.492456889,85
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,76.8000030517578
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,184
Exploradores,-46.5166,-73.1666,256
Falljokull,63.9767271,-16.769957,206.199996948242
Forni,46.39383461,10.58866174,51.4000015258789
Gries,46.44341,8.337930974,47.5
Grigoriev,41.975833,77.913333,87
Gulkana,63.25,-145.416667,117.900001525879
Hansbreen,77.0312,15.6479,17.5
Isfallsglaci?ren,67.91483,18.5663,46.7999992370605
Iver,-33.25,-70.2166,119
Midtre Lov?nbreen,78.885,12.0495,19.3999996185303
Morterasch,46.39872903,9.920244756,48.7999992370605
Recherchebreen,77.4496,14.7978,23.5
Renardbreen,77.5238,14.4284,23
Scottbreen,77.5514,14.365,23.1000003814697
Suntarhyata No.29-31,62.583333,140.85,111.300003051758
Tsanteleina,45.4799,7.046,40.5
Tyndall,-51.2166,-73.2833,138.300003051758
Urumqi  No.1,43.116667,86.8,38.7000007629395
Vestre Broggerbreen,78.9006,11.8187,21.6000003814697
Waldemarbreen,78.6783,12.0584,22.1000003814697
Werenskioldbreen,77.0764,15.3202,21.5
Yala,28.23,85.61,26.6000003814697
Zebru,46.478611,10.568056,54
