ID;Lat;Lon;SAMPLE_1
Addishi;43.02463086;43.01716005;51.29999924
Blaisen;60.554821;7.492456889;175.1999969
Bonaparte;-64.75502144;-64.03676427;
Castle Creek;53.0346;-120.4596;170.1999969
Ecology;-62.18295167;-58.47022901;
El Morado;-33.73780091;-70.06513064;1.899999976
Exploradores;-46.5166;-73.1666;56.29999924
Falljokull;63.9767271;-16.769957;215
Forni;46.39383461;10.58866174;85.5
Gries;46.44341;8.337930974;112.0999985
Grigoriev;41.975833;77.913333;6.099999905
Gulkana;63.25;-145.416667;16.10000038
Hansbreen;77.0312;15.6479;34.5
Isfallsglaci?ren;67.91483;18.5663;58.09999847
Iver;-33.25;-70.2166;0.600000024
Midtre Lov?nbreen;78.885;12.0495;34.20000076
Morterasch;46.39872903;9.920244756;92
Recherchebreen;77.4496;14.7978;42.20000076
Renardbreen;77.5238;14.4284;47.5
Scottbreen;77.5514;14.365;49.20000076
Suntarhyata No.29-31;62.583333;140.85;8.600000381
Tsanteleina;45.4799;7.046;116.3000031
Tyndall;-51.2166;-73.2833;70.90000153
Urumqi  No.1;43.116667;86.8;2.599999905
Vestre Broggerbreen;78.9006;11.8187;37.09999847
Waldemarbreen;78.6783;12.0584;41
Werenskioldbreen;77.0764;15.3202;39.90000153
Yala;28.23;85.61;153.5
Zebru;46.478611;10.568056;92.5
