ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,80.5
Blaisen,60.554821,7.492456889,58.7000007629395
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,66.5999984741211
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,7.90000009536743
Exploradores,-46.5166,-73.1666,112.300003051758
Falljokull,63.9767271,-16.769957,149.600006103516
Forni,46.39383461,10.58866174,93.9000015258789
Gries,46.44341,8.337930974,93.3000030517578
Grigoriev,41.975833,77.913333,25.7000007629395
Gulkana,63.25,-145.416667,6.19999980926514
Hansbreen,77.0312,15.6479,26.2999992370605
Isfallsglaci?ren,67.91483,18.5663,75.1999969482422
Iver,-33.25,-70.2166,2.20000004768372
Midtre Lov?nbreen,78.885,12.0495,29
Morterasch,46.39872903,9.920244756,90.0999984741211
Recherchebreen,77.4496,14.7978,32.9000015258789
Renardbreen,77.5238,14.4284,37.7999992370605
Scottbreen,77.5514,14.365,38.9000015258789
Suntarhyata No.29-31,62.583333,140.85,33.2000007629395
Tsanteleina,45.4799,7.046,87.6999969482422
Tyndall,-51.2166,-73.2833,102.5
Urumqi  No.1,43.116667,86.8,12
Vestre Broggerbreen,78.9006,11.8187,30.1000003814697
Waldemarbreen,78.6783,12.0584,32.7000007629395
Werenskioldbreen,77.0764,15.3202,31.7999992370605
Yala,28.23,85.61,33.2999992370605
Zebru,46.478611,10.568056,97.1999969482422
