ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,79.1999969482422
Blaisen,60.554821,7.492456889,77.0999984741211
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,112.400001525879
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,20.3999996185303
Exploradores,-46.5166,-73.1666,105
Falljokull,63.9767271,-16.769957,106.599998474121
Forni,46.39383461,10.58866174,66.4000015258789
Gries,46.44341,8.337930974,44.0999984741211
Grigoriev,41.975833,77.913333,26.6000003814697
Gulkana,63.25,-145.416667,85.9000015258789
Hansbreen,77.0312,15.6479,22.7999992370605
Isfallsglaci?ren,67.91483,18.5663,48.5999984741211
Iver,-33.25,-70.2166,15.1999998092651
Midtre Lov?nbreen,78.885,12.0495,27.1000003814697
Morterasch,46.39872903,9.920244756,63.0999984741211
Recherchebreen,77.4496,14.7978,31.1000003814697
Renardbreen,77.5238,14.4284,30.2999992370605
Scottbreen,77.5514,14.365,30.5
Suntarhyata No.29-31,62.583333,140.85,105.599998474121
Tsanteleina,45.4799,7.046,16.5
Tyndall,-51.2166,-73.2833,71.4000015258789
Urumqi  No.1,43.116667,86.8,30.1000003814697
Vestre Broggerbreen,78.9006,11.8187,28.1000003814697
Waldemarbreen,78.6783,12.0584,29.7999992370605
Werenskioldbreen,77.0764,15.3202,28
Yala,28.23,85.61,27.1000003814697
Zebru,46.478611,10.568056,71.0999984741211
