ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,93.5999984741211
Blaisen,60.554821,7.492456889,76.0999984741211
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,62.2000007629395
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,8.69999980926514
Exploradores,-46.5166,-73.1666,107.5
Falljokull,63.9767271,-16.769957,86.1999969482422
Forni,46.39383461,10.58866174,83.9000015258789
Gries,46.44341,8.337930974,94.6999969482422
Grigoriev,41.975833,77.913333,48.9000015258789
Gulkana,63.25,-145.416667,10.1999998092651
Hansbreen,77.0312,15.6479,25.2000007629395
Isfallsglaci?ren,67.91483,18.5663,48.4000015258789
Iver,-33.25,-70.2166,1.60000002384186
Midtre Lov?nbreen,78.885,12.0495,29
Morterasch,46.39872903,9.920244756,81.0999984741211
Recherchebreen,77.4496,14.7978,32.2000007629395
Renardbreen,77.5238,14.4284,37.2999992370605
Scottbreen,77.5514,14.365,38.5
Suntarhyata No.29-31,62.583333,140.85,13.8999996185303
Tsanteleina,45.4799,7.046,92.5999984741211
Tyndall,-51.2166,-73.2833,55.5
Urumqi  No.1,43.116667,86.8,58
Vestre Broggerbreen,78.9006,11.8187,30.1000003814697
Waldemarbreen,78.6783,12.0584,32.9000015258789
Werenskioldbreen,77.0764,15.3202,30.6000003814697
Yala,28.23,85.61,39
Zebru,46.478611,10.568056,87.6999969482422
