ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,102.900001525879
Blaisen,60.554821,7.492456889,130
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,169.5
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,7.90000009536743
Exploradores,-46.5166,-73.1666,103.199996948242
Falljokull,63.9767271,-16.769957,121.5
Forni,46.39383461,10.58866174,30.5
Gries,46.44341,8.337930974,64.6999969482422
Grigoriev,41.975833,77.913333,46.7000007629395
Gulkana,63.25,-145.416667,23.8999996185303
Hansbreen,77.0312,15.6479,49.4000015258789
Isfallsglaci?ren,67.91483,18.5663,78.9000015258789
Iver,-33.25,-70.2166,2.20000004768372
Midtre Lov?nbreen,78.885,12.0495,50.4000015258789
Morterasch,46.39872903,9.920244756,41.2000007629395
Recherchebreen,77.4496,14.7978,57.2999992370605
Renardbreen,77.5238,14.4284,61.7000007629395
Scottbreen,77.5514,14.365,62.4000015258789
Suntarhyata No.29-31,62.583333,140.85,49.7000007629395
Tsanteleina,45.4799,7.046,48.9000015258789
Tyndall,-51.2166,-73.2833,105.300003051758
Urumqi  No.1,43.116667,86.8,41.0999984741211
Vestre Broggerbreen,78.9006,11.8187,53.4000015258789
Waldemarbreen,78.6783,12.0584,55.2000007629395
Werenskioldbreen,77.0764,15.3202,56.2000007629395
Yala,28.23,85.61,38.0999984741211
Zebru,46.478611,10.568056,34.7000007629395
