ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,89.8000030517578
Blaisen,60.554821,7.492456889,201.5
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,140.899993896484
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,33.5999984741211
Exploradores,-46.5166,-73.1666,116
Falljokull,63.9767271,-16.769957,105.699996948242
Forni,46.39383461,10.58866174,54.0999984741211
Gries,46.44341,8.337930974,66.9000015258789
Grigoriev,41.975833,77.913333,114.800003051758
Gulkana,63.25,-145.416667,74.5
Hansbreen,77.0312,15.6479,28.6000003814697
Isfallsglaci?ren,67.91483,18.5663,92.4000015258789
Iver,-33.25,-70.2166,28.7999992370605
Midtre Lov?nbreen,78.885,12.0495,27.5
Morterasch,46.39872903,9.920244756,64.0999984741211
Recherchebreen,77.4496,14.7978,36.9000015258789
Renardbreen,77.5238,14.4284,35.2999992370605
Scottbreen,77.5514,14.365,35.4000015258789
Suntarhyata No.29-31,62.583333,140.85,90
Tsanteleina,45.4799,7.046,58.0999984741211
Tyndall,-51.2166,-73.2833,116.699996948242
Urumqi  No.1,43.116667,86.8,82.9000015258789
Vestre Broggerbreen,78.9006,11.8187,28.5
Waldemarbreen,78.6783,12.0584,30.5
Werenskioldbreen,77.0764,15.3202,34.4000015258789
Yala,28.23,85.61,35.2999992370605
Zebru,46.478611,10.568056,58.2999992370605
