ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,43.4000015258789
Blaisen,60.554821,7.492456889,88.0999984741211
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,85.4000015258789
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,1
Exploradores,-46.5166,-73.1666,141.600006103516
Falljokull,63.9767271,-16.769957,152
Forni,46.39383461,10.58866174,32.2999992370605
Gries,46.44341,8.337930974,42.5999984741211
Grigoriev,41.975833,77.913333,8.30000019073486
Gulkana,63.25,-145.416667,15.8999996185303
Hansbreen,77.0312,15.6479,38
Isfallsglaci?ren,67.91483,18.5663,44.9000015258789
Iver,-33.25,-70.2166,0.899999976158142
Midtre Lov?nbreen,78.885,12.0495,45.7000007629395
Morterasch,46.39872903,9.920244756,39.2000007629395
Recherchebreen,77.4496,14.7978,46.7999992370605
Renardbreen,77.5238,14.4284,50.5999984741211
Scottbreen,77.5514,14.365,52.7999992370605
Suntarhyata No.29-31,62.583333,140.85,3.59999990463257
Tsanteleina,45.4799,7.046,78.3000030517578
Tyndall,-51.2166,-73.2833,63.2000007629395
Urumqi  No.1,43.116667,86.8,2.5
Vestre Broggerbreen,78.9006,11.8187,49
Waldemarbreen,78.6783,12.0584,51.7999992370605
Werenskioldbreen,77.0764,15.3202,43.9000015258789
Yala,28.23,85.61,4.69999980926514
Zebru,46.478611,10.568056,34.7999992370605
