ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,116.5
Blaisen,60.554821,7.492456889,122.300003051758
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,152.800003051758
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,8.5
Exploradores,-46.5166,-73.1666,36.7999992370605
Falljokull,63.9767271,-16.769957,207.399993896484
Forni,46.39383461,10.58866174,89.5
Gries,46.44341,8.337930974,73.8000030517578
Grigoriev,41.975833,77.913333,4
Gulkana,63.25,-145.416667,19.2999992370605
Hansbreen,77.0312,15.6479,35.9000015258789
Isfallsglaci?ren,67.91483,18.5663,89.0999984741211
Iver,-33.25,-70.2166,2.20000004768372
Midtre Lov?nbreen,78.885,12.0495,47
Morterasch,46.39872903,9.920244756,94.1999969482422
Recherchebreen,77.4496,14.7978,44.9000015258789
Renardbreen,77.5238,14.4284,49.7999992370605
Scottbreen,77.5514,14.365,51.5999984741211
Suntarhyata No.29-31,62.583333,140.85,8.60000038146973
Tsanteleina,45.4799,7.046,66.5
Tyndall,-51.2166,-73.2833,70.5
Urumqi  No.1,43.116667,86.8,2.5
Vestre Broggerbreen,78.9006,11.8187,51.2000007629395
Waldemarbreen,78.6783,12.0584,53.4000015258789
Werenskioldbreen,77.0764,15.3202,41.9000015258789
Yala,28.23,85.61,2.70000004768372
Zebru,46.478611,10.568056,95.3000030517578
