ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,180.100006103516
Blaisen,60.554821,7.492456889,72.8000030517578
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,78.0999984741211
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,11.5
Exploradores,-46.5166,-73.1666,197.899993896484
Falljokull,63.9767271,-16.769957,148.399993896484
Forni,46.39383461,10.58866174,48.2000007629395
Gries,46.44341,8.337930974,96.4000015258789
Grigoriev,41.975833,77.913333,29.3999996185303
Gulkana,63.25,-145.416667,19.5
Hansbreen,77.0312,15.6479,18.1000003814697
Isfallsglaci?ren,67.91483,18.5663,46.4000015258789
Iver,-33.25,-70.2166,1.79999995231628
Midtre Lov?nbreen,78.885,12.0495,18.1000003814697
Morterasch,46.39872903,9.920244756,62.4000015258789
Recherchebreen,77.4496,14.7978,22.3999996185303
Renardbreen,77.5238,14.4284,24.2999992370605
Scottbreen,77.5514,14.365,25.1000003814697
Suntarhyata No.29-31,62.583333,140.85,59.0999984741211
Tsanteleina,45.4799,7.046,72.8000030517578
Tyndall,-51.2166,-73.2833,102.900001525879
Urumqi  No.1,43.116667,86.8,52.0999984741211
Vestre Broggerbreen,78.9006,11.8187,19
Waldemarbreen,78.6783,12.0584,20.5
Werenskioldbreen,77.0764,15.3202,21.2000007629395
Yala,28.23,85.61,9.80000019073486
Zebru,46.478611,10.568056,52.4000015258789
