ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,95.1999969482422
Blaisen,60.554821,7.492456889,193.300003051758
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,152.699996948242
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,58.2999992370605
Exploradores,-46.5166,-73.1666,61
Falljokull,63.9767271,-16.769957,69.4000015258789
Forni,46.39383461,10.58866174,63
Gries,46.44341,8.337930974,77.5999984741211
Grigoriev,41.975833,77.913333,46
Gulkana,63.25,-145.416667,68.1999969482422
Hansbreen,77.0312,15.6479,39.5
Isfallsglaci?ren,67.91483,18.5663,59.2000007629395
Iver,-33.25,-70.2166,52.5999984741211
Midtre Lov?nbreen,78.885,12.0495,20.5
Morterasch,46.39872903,9.920244756,69.5
Recherchebreen,77.4496,14.7978,45.5999984741211
Renardbreen,77.5238,14.4284,42.2000007629395
Scottbreen,77.5514,14.365,41.5
Suntarhyata No.29-31,62.583333,140.85,63.2000007629395
Tsanteleina,45.4799,7.046,60.5999984741211
Tyndall,-51.2166,-73.2833,39.0999984741211
Urumqi  No.1,43.116667,86.8,32.9000015258789
Vestre Broggerbreen,78.9006,11.8187,22.6000003814697
Waldemarbreen,78.6783,12.0584,24
Werenskioldbreen,77.0764,15.3202,46.2999992370605
Yala,28.23,85.61,14.6000003814697
Zebru,46.478611,10.568056,66.9000015258789
