ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,132.800003051758
Blaisen,60.554821,7.492456889,120.900001525879
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,31.8999996185303
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,33.4000015258789
Exploradores,-46.5166,-73.1666,131.199996948242
Falljokull,63.9767271,-16.769957,232.5
Forni,46.39383461,10.58866174,68.8000030517578
Gries,46.44341,8.337930974,65.3000030517578
Grigoriev,41.975833,77.913333,54.7999992370605
Gulkana,63.25,-145.416667,10.3999996185303
Hansbreen,77.0312,15.6479,36.4000015258789
Isfallsglaci?ren,67.91483,18.5663,39.7999992370605
Iver,-33.25,-70.2166,40.5999984741211
Midtre Lov?nbreen,78.885,12.0495,19.1000003814697
Morterasch,46.39872903,9.920244756,71.0999984741211
Recherchebreen,77.4496,14.7978,39.9000015258789
Renardbreen,77.5238,14.4284,41
Scottbreen,77.5514,14.365,41.9000015258789
Suntarhyata No.29-31,62.583333,140.85,45.0999984741211
Tsanteleina,45.4799,7.046,61.9000015258789
Tyndall,-51.2166,-73.2833,125
Urumqi  No.1,43.116667,86.8,41.7000007629395
Vestre Broggerbreen,78.9006,11.8187,19.7999992370605
Waldemarbreen,78.6783,12.0584,22.2000007629395
Werenskioldbreen,77.0764,15.3202,40.9000015258789
Yala,28.23,85.61,8.69999980926514
Zebru,46.478611,10.568056,70.0999984741211
