ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,91.3000030517578
Blaisen,60.554821,7.492456889,118.099998474121
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,147.699996948242
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,44.4000015258789
Exploradores,-46.5166,-73.1666,112.099998474121
Falljokull,63.9767271,-16.769957,114
Forni,46.39383461,10.58866174,164.699996948242
Gries,46.44341,8.337930974,184.199996948242
Grigoriev,41.975833,77.913333,15.1000003814697
Gulkana,63.25,-145.416667,4.69999980926514
Hansbreen,77.0312,15.6479,34.4000015258789
Isfallsglaci?ren,67.91483,18.5663,39.9000015258789
Iver,-33.25,-70.2166,33.7000007629395
Midtre Lov?nbreen,78.885,12.0495,47.0999984741211
Morterasch,46.39872903,9.920244756,181.899993896484
Recherchebreen,77.4496,14.7978,44
Renardbreen,77.5238,14.4284,48.9000015258789
Scottbreen,77.5514,14.365,50.7999992370605
Suntarhyata No.29-31,62.583333,140.85,15
Tsanteleina,45.4799,7.046,229.600006103516
Tyndall,-51.2166,-73.2833,71.1999969482422
Urumqi  No.1,43.116667,86.8,7.19999980926514
Vestre Broggerbreen,78.9006,11.8187,51.2999992370605
Waldemarbreen,78.6783,12.0584,53.5
Werenskioldbreen,77.0764,15.3202,40.4000015258789
Yala,28.23,85.61,42.2000007629395
Zebru,46.478611,10.568056,167
