ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,114.400001525879
Blaisen,60.554821,7.492456889,24.3999996185303
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,87.4000015258789
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,2.5
Exploradores,-46.5166,-73.1666,88.3000030517578
Falljokull,63.9767271,-16.769957,50.7000007629395
Forni,46.39383461,10.58866174,55.5
Gries,46.44341,8.337930974,66.6999969482422
Grigoriev,41.975833,77.913333,2.70000004768372
Gulkana,63.25,-145.416667,20.1000003814697
Hansbreen,77.0312,15.6479,35.2999992370605
Isfallsglaci?ren,67.91483,18.5663,52.9000015258789
Iver,-33.25,-70.2166,2
Midtre Lov?nbreen,78.885,12.0495,34.5
Morterasch,46.39872903,9.920244756,59
Recherchebreen,77.4496,14.7978,43.9000015258789
Renardbreen,77.5238,14.4284,49.4000015258789
Scottbreen,77.5514,14.365,51.2999992370605
Suntarhyata No.29-31,62.583333,140.85,7.80000019073486
Tsanteleina,45.4799,7.046,97.6999969482422
Tyndall,-51.2166,-73.2833,115
Urumqi  No.1,43.116667,86.8,1.20000004768372
Vestre Broggerbreen,78.9006,11.8187,37.4000015258789
Waldemarbreen,78.6783,12.0584,41.5
Werenskioldbreen,77.0764,15.3202,41.0999984741211
Yala,28.23,85.61,20.1000003814697
Zebru,46.478611,10.568056,56.0999984741211
