ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,92.4000015258789
Blaisen,60.554821,7.492456889,163.100006103516
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,97.5999984741211
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,132.800003051758
Exploradores,-46.5166,-73.1666,158.300003051758
Falljokull,63.9767271,-16.769957,147.199996948242
Forni,46.39383461,10.58866174,62.5
Gries,46.44341,8.337930974,92.1999969482422
Grigoriev,41.975833,77.913333,14
Gulkana,63.25,-145.416667,15.8000001907349
Hansbreen,77.0312,15.6479,43.5999984741211
Isfallsglaci?ren,67.91483,18.5663,120.900001525879
Iver,-33.25,-70.2166,157.899993896484
Midtre Lov?nbreen,78.885,12.0495,50.0999984741211
Morterasch,46.39872903,9.920244756,83.5
Recherchebreen,77.4496,14.7978,52.2000007629395
Renardbreen,77.5238,14.4284,56.7999992370605
Scottbreen,77.5514,14.365,57.5999984741211
Suntarhyata No.29-31,62.583333,140.85,49.9000015258789
Tsanteleina,45.4799,7.046,80.0999984741211
Tyndall,-51.2166,-73.2833,104.199996948242
Urumqi  No.1,43.116667,86.8,26.7999992370605
Vestre Broggerbreen,78.9006,11.8187,53.0999984741211
Waldemarbreen,78.6783,12.0584,54.7999992370605
Werenskioldbreen,77.0764,15.3202,50.0999984741211
Yala,28.23,85.61,40.7999992370605
Zebru,46.478611,10.568056,65.5999984741211
