ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,211.100006103516
Blaisen,60.554821,7.492456889,149.5
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,117.599998474121
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,102.900001525879
Exploradores,-46.5166,-73.1666,188.199996948242
Falljokull,63.9767271,-16.769957,191.199996948242
Forni,46.39383461,10.58866174,78.0999984741211
Gries,46.44341,8.337930974,92
Grigoriev,41.975833,77.913333,70.6999969482422
Gulkana,63.25,-145.416667,69.0999984741211
Hansbreen,77.0312,15.6479,44.2000007629395
Isfallsglaci?ren,67.91483,18.5663,140.699996948242
Iver,-33.25,-70.2166,102.300003051758
Midtre Lov?nbreen,78.885,12.0495,28.2000007629395
Morterasch,46.39872903,9.920244756,83.1999969482422
Recherchebreen,77.4496,14.7978,51.5999984741211
Renardbreen,77.5238,14.4284,47.5999984741211
Scottbreen,77.5514,14.365,47.2000007629395
Suntarhyata No.29-31,62.583333,140.85,125.300003051758
Tsanteleina,45.4799,7.046,65
Tyndall,-51.2166,-73.2833,147.100006103516
Urumqi  No.1,43.116667,86.8,50.7999992370605
Vestre Broggerbreen,78.9006,11.8187,29.1000003814697
Waldemarbreen,78.6783,12.0584,31.7000007629395
Werenskioldbreen,77.0764,15.3202,51.4000015258789
Yala,28.23,85.61,33.4000015258789
Zebru,46.478611,10.568056,84.4000015258789
