ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,114.300003051758
Blaisen,60.554821,7.492456889,56.7999992370605
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,76.5
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,3.40000009536743
Exploradores,-46.5166,-73.1666,166
Falljokull,63.9767271,-16.769957,151.800003051758
Forni,46.39383461,10.58866174,39.5
Gries,46.44341,8.337930974,24.1000003814697
Grigoriev,41.975833,77.913333,6.5
Gulkana,63.25,-145.416667,12.3000001907349
Hansbreen,77.0312,15.6479,34
Isfallsglaci?ren,67.91483,18.5663,61.9000015258789
Iver,-33.25,-70.2166,1.5
Midtre Lov?nbreen,78.885,12.0495,39.5
Morterasch,46.39872903,9.920244756,36
Recherchebreen,77.4496,14.7978,44.0999984741211
Renardbreen,77.5238,14.4284,50.0999984741211
Scottbreen,77.5514,14.365,52
Suntarhyata No.29-31,62.583333,140.85,15.8000001907349
Tsanteleina,45.4799,7.046,47.4000015258789
Tyndall,-51.2166,-73.2833,161.899993896484
Urumqi  No.1,43.116667,86.8,2
Vestre Broggerbreen,78.9006,11.8187,42.7000007629395
Waldemarbreen,78.6783,12.0584,46
Werenskioldbreen,77.0764,15.3202,40.7999992370605
Yala,28.23,85.61,18.2000007629395
Zebru,46.478611,10.568056,40.0999984741211
