ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,146.199996948242
Blaisen,60.554821,7.492456889,52.4000015258789
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,80.0999984741211
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,4
Exploradores,-46.5166,-73.1666,356.5
Falljokull,63.9767271,-16.769957,170.399993896484
Forni,46.39383461,10.58866174,65.4000015258789
Gries,46.44341,8.337930974,81.5999984741211
Grigoriev,41.975833,77.913333,47.2000007629395
Gulkana,63.25,-145.416667,7.59999990463257
Hansbreen,77.0312,15.6479,21.2000007629395
Isfallsglaci?ren,67.91483,18.5663,51.5
Iver,-33.25,-70.2166,2.5
Midtre Lov?nbreen,78.885,12.0495,28.5
Morterasch,46.39872903,9.920244756,67.9000015258789
Recherchebreen,77.4496,14.7978,27.2000007629395
Renardbreen,77.5238,14.4284,31.7999992370605
Scottbreen,77.5514,14.365,32.7999992370605
Suntarhyata No.29-31,62.583333,140.85,21.1000003814697
Tsanteleina,45.4799,7.046,129.800003051758
Tyndall,-51.2166,-73.2833,228.199996948242
Urumqi  No.1,43.116667,86.8,17.5
Vestre Broggerbreen,78.9006,11.8187,29.6000003814697
Waldemarbreen,78.6783,12.0584,31.7999992370605
Werenskioldbreen,77.0764,15.3202,25.7000007629395
Yala,28.23,85.61,31.7999992370605
Zebru,46.478611,10.568056,66.8000030517578
