ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,86.4000015258789
Blaisen,60.554821,7.492456889,157.100006103516
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,105.199996948242
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,67.6999969482422
Exploradores,-46.5166,-73.1666,99
Falljokull,63.9767271,-16.769957,293.600006103516
Forni,46.39383461,10.58866174,24.7999992370605
Gries,46.44341,8.337930974,58.7000007629395
Grigoriev,41.975833,77.913333,20.3999996185303
Gulkana,63.25,-145.416667,15.6000003814697
Hansbreen,77.0312,15.6479,36.9000015258789
Isfallsglaci?ren,67.91483,18.5663,57.7000007629395
Iver,-33.25,-70.2166,55.7000007629395
Midtre Lov?nbreen,78.885,12.0495,37.7999992370605
Morterasch,46.39872903,9.920244756,43.5
Recherchebreen,77.4496,14.7978,48.7000007629395
Renardbreen,77.5238,14.4284,54.0999984741211
Scottbreen,77.5514,14.365,55.2999992370605
Suntarhyata No.29-31,62.583333,140.85,19.2999992370605
Tsanteleina,45.4799,7.046,49.2999992370605
Tyndall,-51.2166,-73.2833,97.3000030517578
Urumqi  No.1,43.116667,86.8,26.2000007629395
Vestre Broggerbreen,78.9006,11.8187,40.7999992370605
Waldemarbreen,78.6783,12.0584,44.7000007629395
Werenskioldbreen,77.0764,15.3202,44.5
Yala,28.23,85.61,40.2000007629395
Zebru,46.478611,10.568056,28.5
