ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,72.5
Blaisen,60.554821,7.492456889,168.800003051758
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,100.199996948242
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,108.599998474121
Exploradores,-46.5166,-73.1666,161
Falljokull,63.9767271,-16.769957,58.7999992370605
Forni,46.39383461,10.58866174,122.800003051758
Gries,46.44341,8.337930974,146.600006103516
Grigoriev,41.975833,77.913333,71.8000030517578
Gulkana,63.25,-145.416667,43.0999984741211
Hansbreen,77.0312,15.6479,31.7999992370605
Isfallsglaci?ren,67.91483,18.5663,75.3000030517578
Iver,-33.25,-70.2166,134.399993896484
Midtre Lov?nbreen,78.885,12.0495,42.5999984741211
Morterasch,46.39872903,9.920244756,148.899993896484
Recherchebreen,77.4496,14.7978,42.9000015258789
Renardbreen,77.5238,14.4284,44.5999984741211
Scottbreen,77.5514,14.365,45.7000007629395
Suntarhyata No.29-31,62.583333,140.85,65.8000030517578
Tsanteleina,45.4799,7.046,110.300003051758
Tyndall,-51.2166,-73.2833,114.5
Urumqi  No.1,43.116667,86.8,112.199996948242
Vestre Broggerbreen,78.9006,11.8187,44.7000007629395
Waldemarbreen,78.6783,12.0584,46.2999992370605
Werenskioldbreen,77.0764,15.3202,38.2000007629395
Yala,28.23,85.61,43.5999984741211
Zebru,46.478611,10.568056,132.199996948242
