ID,Lat,Lon,SAMPLE_1
Addishi,43.02463086,43.01716005,152.199996948242
Blaisen,60.554821,7.492456889,73.1999969482422
Bonaparte,-64.75502144,-64.03676427,
Castle Creek,53.0346,-120.4596,71.6999969482422
Ecology,-62.18295167,-58.47022901,
El Morado,-33.73780091,-70.06513064,47.4000015258789
Exploradores,-46.5166,-73.1666,231.300003051758
Falljokull,63.9767271,-16.769957,97
Forni,46.39383461,10.58866174,84.0999984741211
Gries,46.44341,8.337930974,138.300003051758
Grigoriev,41.975833,77.913333,50.7999992370605
Gulkana,63.25,-145.416667,77.1999969482422
Hansbreen,77.0312,15.6479,18.5
Isfallsglaci?ren,67.91483,18.5663,43.4000015258789
Iver,-33.25,-70.2166,45.4000015258789
Midtre Lov?nbreen,78.885,12.0495,19.8999996185303
Morterasch,46.39872903,9.920244756,112.699996948242
Recherchebreen,77.4496,14.7978,26
Renardbreen,77.5238,14.4284,25.6000003814697
Scottbreen,77.5514,14.365,25.7999992370605
Suntarhyata No.29-31,62.583333,140.85,91
Tsanteleina,45.4799,7.046,110.800003051758
Tyndall,-51.2166,-73.2833,157.899993896484
Urumqi  No.1,43.116667,86.8,73.5999984741211
Vestre Broggerbreen,78.9006,11.8187,22
Waldemarbreen,78.6783,12.0584,22.8999996185303
Werenskioldbreen,77.0764,15.3202,23.2999992370605
Yala,28.23,85.61,17
Zebru,46.478611,10.568056,87.6999969482422
